Summary, T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T
Less_than_1000 data entries have small Annual change in coal production,1.0,0.9967470859311467,0.003252914068853348,0.0,1.0,0.8192825517303696,0.8644619137977771,0.9983046220746363,0.0,0.0,1.0,0.9235840358550365
Less_than_1000 countries from europe have small Annual change in coal production,1.0,0.9971949509116409,0.002805049088359046,0.0,1.0,0.8192825517303696,0.8644619137977771,0.998603141654979,0.0,0.0,1.0,0.9235938771598828
Less_than_1000 countries from asia have small Annual change in coal production,1.0,0.9976708074534162,0.002329192546583851,0.0,1.0,0.8192825517303696,0.8644619137977771,0.9988372214673913,0.0,0.0,1.0,0.9236015940767757
Less_than_1000 data entries have small Annual change in coal production and small Coal production,1.0,0.9429991843066383,0.9990964127586518,0.9958473197689433,0.5,0.8192825517303696,0.8644619137977771,0.958857138733197,0.0,0.0,1.0,0.9696882809152385
Less_than_1000 countries from europe have small Annual change in coal production and small Coal production,1.0,0.9470372858667624,1.0,0.9971949509116409,0.5,0.8192825517303696,0.8644619137977771,0.9626254318416783,0.0,0.0,1.0,0.9700198505763149
Less_than_1000 countries from asia have small Annual change in coal production and small Coal production,1.0,0.9518602235039199,0.9961180124223602,0.9938005743412677,0.5,0.8192825517303696,0.8644619137977771,0.9660148399165202,0.0,0.0,1.0,0.9700507071113915
Less_than_1000 data entries having small Coal production have small Annual change in coal production,1.0,0.9967470859311467,0.0029853446716120863,2.6756939724126164E-4,1.0,0.8192825517303696,0.8644619137977771,0.9983046220746363,0.001174663413752608,0.0015588808281377098,1.0,0.87054347895534
Less_than_1000 countries from europe having small Coal production have small Annual change in coal production,1.0,0.9971949509116409,0.002805049088359046,0.0,1.0,0.8192825517303696,0.8644619137977771,0.998603141654979,0.0,0.0,1.0,0.8704704282154934
Less_than_1000 countries from asia having small Coal production have small Annual change in coal production,1.0,0.9976708074534162,0.0011705033164260631,0.0011586892301577879,1.0,0.8192825517303696,0.8644619137977771,0.9988372214673913,0.005046583850931707,0.006697257036102466,1.0,0.8708297658364771
Less_than_1000 data entries having small Annual change in coal production have small Coal production,1.0,0.001174663413752608,0.9166666666666666,0.08215866991958076,1.0,0.8192825517303696,0.8644619137977771,0.0015588808281377098,0.9967470859311467,0.9983046220746363,1.0,0.9004106516308618
Less_than_1000 countries from europe having small Annual change in coal production have small Coal production,1.0,0.0,1.0,0.0,1.0,0.8192825517303696,0.8644619137977771,0.0,0.9971949509116409,0.998603141654979,1.0,0.9003862767428427
Less_than_1000 countries from asia having small Annual change in coal production have small Coal production,1.0,0.005046583850931707,0.5,0.4949534161490683,1.0,0.8192825517303696,0.8644619137977771,0.006697257036102466,0.9976708074534162,0.9988372214673913,1.0,0.9006084925445514
Less_than_1000  countries from europe compare to countries from asia have small Coal production,1.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
Less_than_1000  countries from europe compare to countries from asia have small Annual change in coal production,1.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
Less_than_1000  countries from europe compare to countries from asia have small Annual change in coal production and small Coal production,1.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
Less_than_1000  countries from europe compare to countries from asia having small Coal production have small Annual change in coal production,1.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
Less_than_1000  countries from asia compare to countries from europe having small Coal production have small Annual change in coal production,1.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
Less_than_1000  countries from europe having small Coal production compare to countries from asia have small Annual change in coal production,1.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
Less_than_1000  countries from asia having small Coal production compare to countries from europe have small Annual change in coal production,1.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
Less_than_1000  countries from europe compare to countries from asia having small Annual change in coal production have small Coal production,1.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
Less_than_1000  countries from asia compare to countries from europe having small Annual change in coal production have small Coal production,1.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
Less_than_1000  countries from europe having small Annual change in coal production compare to countries from asia have small Coal production,1.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
Less_than_1000  countries from asia having small Annual change in coal production compare to countries from europe have small Coal production,1.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
Over_8000 data entries have small Coal production,1.0,0.001174663413752608,0.9988253365862474,0.0,1.0,0.6325110689437066,0.6776904310111141,0.0015588808281377098,0.0,0.0,1.0,0.8784096828829545
Over_10000 data entries have small Coal production,1.0,0.001174663413752608,0.9988253365862474,0.0,1.0,0.8132285172133369,0.8584078792807446,0.0015588808281377098,0.0,0.0,1.0,0.8903251190326006
Nearly_none data entries have small Annual change in coal production,1.0,0.9967470859311467,0.003252914068853348,0.0,1.0,0.7,0.75,0.9983046220746363,0.0,0.0,1.0,0.9158781743541087
Nearly_none countries from europe have small Annual change in coal production,1.0,0.9971949509116409,0.002805049088359046,0.0,1.0,0.7,0.75,0.998603141654979,0.0,0.0,1.0,0.9158880156589551
Nearly_none countries from asia have small Annual change in coal production,1.0,0.9976708074534162,0.002329192546583851,0.0,1.0,0.7,0.75,0.9988372214673913,0.0,0.0,1.0,0.9158957325758479
Nearly_none data entries have small Annual change in coal production and small Coal production,1.0,0.9429991843066383,0.9990964127586518,0.9958473197689433,0.5,0.7,0.75,0.958857138733197,0.0,0.0,1.0,0.9619824194143106
Nearly_none countries from europe have small Annual change in coal production and small Coal production,1.0,0.9470372858667624,1.0,0.9971949509116409,0.5,0.7,0.75,0.9626254318416783,0.0,0.0,1.0,0.9623139890753871
Nearly_none countries from asia have small Annual change in coal production and small Coal production,1.0,0.9518602235039199,0.9961180124223602,0.9938005743412677,0.5,0.7,0.75,0.9660148399165202,0.0,0.0,1.0,0.9623448456104636
Nearly_none data entries having small Coal production have small Annual change in coal production,1.0,0.9967470859311467,0.0029853446716120863,2.6756939724126164E-4,1.0,0.7,0.75,0.9983046220746363,0.001174663413752608,0.0015588808281377098,1.0,0.8635311449894957
Nearly_none countries from europe having small Coal production have small Annual change in coal production,1.0,0.9971949509116409,0.002805049088359046,0.0,1.0,0.7,0.75,0.998603141654979,0.0,0.0,1.0,0.863458094249649
Nearly_none countries from asia having small Coal production have small Annual change in coal production,1.0,0.9976708074534162,0.0011705033164260631,0.0011586892301577879,1.0,0.7,0.75,0.9988372214673913,0.005046583850931707,0.006697257036102466,1.0,0.8638174318706328
Nearly_none data entries having small Annual change in coal production have small Coal production,1.0,0.001174663413752608,0.9166666666666666,0.08215866991958076,1.0,0.7,0.75,0.0015588808281377098,0.9967470859311467,0.9983046220746363,1.0,0.8933983176650174
