Summary, degree of truth, degree of imprecision, degree of covering, degree of appropriateness, length of summary, degree of quantifier imprecision, degree of quantifier cardinality, degree of summarizer cardinality, degree of qualifier imprecision, degree of qualifier cardinality, length of qualifier, T
NEARLY_NONE data entries have average Coal production per capita and small Gas production per capita, 1.0, 0.91, 1.0, 0.99, 0.5, 0.7, 0.75, 0.95, 0.0, 0.0, 1.0, 0.96
NEARLY_NONE countries from north america have average Coal production per capita and small Gas production per capita, 1.0, 0.91, 1.0, 0.99, 0.5, 0.7, 0.75, 0.97, 0.0, 0.0, 1.0, 0.96
NEARLY_NONE countries from europe have average Coal production per capita and small Gas production per capita, 1.0, 0.88, 1.0, 0.99, 0.5, 0.7, 0.75, 0.97, 0.0, 0.0, 1.0, 0.96
NEARLY_NONE data entries have average Coal production per capita and small Oil production and average Annual change in oil production, 1.0, 0.79, 1.0, 0.99, 0.25, 0.7, 0.75, 0.87, 0.0, 0.0, 1.0, 0.95
NEARLY_NONE countries from north america have average Coal production per capita and small Oil production and average Annual change in oil production, 1.0, 0.79, 1.0, 0.99, 0.25, 0.7, 0.75, 0.9, 0.0, 0.0, 1.0, 0.95
NEARLY_NONE countries from europe have average Coal production per capita and small Oil production and average Annual change in oil production, 1.0, 0.76, 1.0, 0.99, 0.25, 0.7, 0.75, 0.9, 0.0, 0.0, 1.0, 0.95
NEARLY_NONE data entries have average Coal production per capita and small Gas production per capita and average Annual change in oil production, 1.0, 0.79, 1.0, 0.99, 0.25, 0.7, 0.75, 0.87, 0.0, 0.0, 1.0, 0.95
NEARLY_NONE countries from north america have average Coal production per capita and small Gas production per capita and average Annual change in oil production, 1.0, 0.79, 1.0, 0.99, 0.25, 0.7, 0.75, 0.9, 0.0, 0.0, 1.0, 0.95
NEARLY_NONE countries from europe have average Coal production per capita and small Gas production per capita and average Annual change in oil production, 1.0, 0.76, 1.0, 0.99, 0.25, 0.7, 0.75, 0.9, 0.0, 0.0, 1.0, 0.95
NEARLY_NONE data entries have average Coal production per capita and small Oil production and small Gas production per capita and average Annual change in oil production, 1.0, 0.7, 1.0, 0.99, 0.13, 0.7, 0.75, 0.79, 0.0, 0.0, 1.0, 0.94
NEARLY_NONE countries from north america have average Coal production per capita and small Oil production and small Gas production per capita and average Annual change in oil production, 1.0, 0.69, 1.0, 0.99, 0.13, 0.7, 0.75, 0.83, 0.0, 0.0, 1.0, 0.94
NEARLY_NONE countries from europe have average Coal production per capita and small Oil production and small Gas production per capita and average Annual change in oil production, 1.0, 0.65, 1.0, 0.99, 0.13, 0.7, 0.75, 0.82, 0.0, 0.0, 1.0, 0.94
NEARLY_NONE data entries have average Coal production per capita and small Oil production, 1.0, 0.91, 1.0, 0.99, 0.5, 0.7, 0.75, 0.95, 0.0, 0.0, 1.0, 0.96
NEARLY_NONE countries from north america have average Coal production per capita and small Oil production, 1.0, 0.91, 1.0, 0.99, 0.5, 0.7, 0.75, 0.97, 0.0, 0.0, 1.0, 0.96
NEARLY_NONE countries from europe have average Coal production per capita and small Oil production, 1.0, 0.88, 1.0, 0.99, 0.5, 0.7, 0.75, 0.97, 0.0, 0.0, 1.0, 0.96
NEARLY_NONE data entries have average Coal production per capita, 1.0, 0.99, 0.01, 0.0, 1.0, 0.7, 0.75, 1.0, 0.0, 0.0, 1.0, 0.92
NEARLY_NONE countries from north america have average Coal production per capita, 1.0, 0.99, 0.01, 0.0, 1.0, 0.7, 0.75, 1.0, 0.0, 0.0, 1.0, 0.92
NEARLY_NONE countries from europe have average Coal production per capita, 1.0, 0.99, 0.01, 0.0, 1.0, 0.7, 0.75, 1.0, 0.0, 0.0, 1.0, 0.92
NEARLY_NONE data entries have average Coal production per capita and average Annual change in oil production, 1.0, 0.91, 1.0, 0.99, 0.5, 0.7, 0.75, 0.95, 0.0, 0.0, 1.0, 0.96
NEARLY_NONE countries from north america have average Coal production per capita and average Annual change in oil production, 1.0, 0.91, 1.0, 0.99, 0.5, 0.7, 0.75, 0.97, 0.0, 0.0, 1.0, 0.96
NEARLY_NONE countries from europe have average Coal production per capita and average Annual change in oil production, 1.0, 0.88, 1.0, 0.99, 0.5, 0.7, 0.75, 0.97, 0.0, 0.0, 1.0, 0.96
NEARLY_NONE data entries have average Coal production per capita and small Oil production and small Gas production per capita, 1.0, 0.79, 1.0, 0.99, 0.25, 0.7, 0.75, 0.87, 0.0, 0.0, 1.0, 0.95
NEARLY_NONE countries from north america have average Coal production per capita and small Oil production and small Gas production per capita, 1.0, 0.79, 1.0, 0.99, 0.25, 0.7, 0.75, 0.9, 0.0, 0.0, 1.0, 0.95
NEARLY_NONE countries from europe have average Coal production per capita and small Oil production and small Gas production per capita, 1.0, 0.76, 1.0, 0.99, 0.25, 0.7, 0.75, 0.9, 0.0, 0.0, 1.0, 0.95
NEARLY_NONE data entries having average Coal production per capita and small Gas production per capita have average Annual change in oil production, 1.0, 0.0, 1.0, 0.0, 1.0, 0.7, 0.75, 0.0, 0.91, 0.95, 0.5, 0.87
NEARLY_NONE countries from north america having average Coal production per capita and small Gas production per capita have average Annual change in oil production, 1.0, 0.0, 1.0, 0.0, 1.0, 0.7, 0.75, 0.0, 0.91, 0.97, 0.5, 0.87
NEARLY_NONE countries from europe having average Coal production per capita and small Gas production per capita have average Annual change in oil production, 1.0, 0.0, 1.0, 0.0, 1.0, 0.7, 0.75, 0.0, 0.88, 0.97, 0.5, 0.87
NEARLY_NONE data entries having average Coal production per capita and small Gas production per capita have small Oil production, 1.0, 0.0, 1.0, 0.0, 1.0, 0.7, 0.75, 0.0, 0.91, 0.95, 0.5, 0.87
NEARLY_NONE countries from north america having average Coal production per capita and small Gas production per capita have small Oil production, 1.0, 0.0, 1.0, 0.0, 1.0, 0.7, 0.75, 0.0, 0.91, 0.97, 0.5, 0.87
NEARLY_NONE countries from europe having average Coal production per capita and small Gas production per capita have small Oil production, 1.0, 0.0, 1.0, 0.0, 1.0, 0.7, 0.75, 0.0, 0.88, 0.97, 0.5, 0.87
NEARLY_NONE data entries having average Coal production per capita and small Gas production per capita have small Oil production and average Annual change in oil production, 1.0, 0.0, 1.0, 0.0, 0.5, 0.7, 0.75, 0.0, 0.91, 0.95, 0.5, 0.86
NEARLY_NONE countries from north america having average Coal production per capita and small Gas production per capita have small Oil production and average Annual change in oil production, 1.0, 0.0, 1.0, 0.0, 0.5, 0.7, 0.75, 0.0, 0.91, 0.97, 0.5, 0.86
NEARLY_NONE countries from europe having average Coal production per capita and small Gas production per capita have small Oil production and average Annual change in oil production, 1.0, 0.0, 1.0, 0.0, 0.5, 0.7, 0.75, 0.0, 0.88, 0.97, 0.5, 0.86
NEARLY_NONE data entries having average Coal production per capita and small Oil production and average Annual change in oil production have small Gas production per capita, 1.0, 0.0, 1.0, 0.0, 1.0, 0.7, 0.75, 0.01, 0.79, 0.87, 0.25, 0.86
NEARLY_NONE countries from north america having average Coal production per capita and small Oil production and average Annual change in oil production have small Gas production per capita, 1.0, 0.0, 1.0, 0.0, 1.0, 0.7, 0.75, 0.01, 0.79, 0.9, 0.25, 0.86
NEARLY_NONE countries from europe having average Coal production per capita and small Oil production and average Annual change in oil production have small Gas production per capita, 1.0, 0.0, 1.0, 0.0, 1.0, 0.7, 0.75, 0.0, 0.76, 0.9, 0.25, 0.86
NEARLY_NONE data entries having average Coal production per capita and small Gas production per capita and average Annual change in oil production have small Oil production, 1.0, 0.0, 1.0, 0.0, 1.0, 0.7, 0.75, 0.0, 0.79, 0.87, 0.25, 0.86
NEARLY_NONE countries from north america having average Coal production per capita and small Gas production per capita and average Annual change in oil production have small Oil production, 1.0, 0.0, 1.0, 0.0, 1.0, 0.7, 0.75, 0.0, 0.79, 0.9, 0.25, 0.86
NEARLY_NONE countries from europe having average Coal production per capita and small Gas production per capita and average Annual change in oil production have small Oil production, 1.0, 0.0, 1.0, 0.0, 1.0, 0.7, 0.75, 0.0, 0.76, 0.9, 0.25, 0.86
NEARLY_NONE data entries having small Oil production have average Coal production per capita and small Gas production per capita, 1.0, 0.91, 1.0, 0.99, 0.5, 0.7, 0.75, 0.95, 0.0, 0.0, 1.0, 0.9
NEARLY_NONE countries from north america having small Oil production have average Coal production per capita and small Gas production per capita, 1.0, 0.91, 1.0, 0.99, 0.5, 0.7, 0.75, 0.97, 0.0, 0.0, 1.0, 0.9
NEARLY_NONE countries from europe having small Oil production have average Coal production per capita and small Gas production per capita, 1.0, 0.88, 1.0, 0.99, 0.5, 0.7, 0.75, 0.97, 0.0, 0.0, 1.0, 0.9
NEARLY_NONE data entries having small Oil production have average Coal production per capita, 1.0, 0.99, 0.01, 0.0, 1.0, 0.7, 0.75, 1.0, 0.0, 0.0, 1.0, 0.86
NEARLY_NONE countries from north america having small Oil production have average Coal production per capita, 1.0, 0.99, 0.01, 0.0, 1.0, 0.7, 0.75, 1.0, 0.0, 0.0, 1.0, 0.86
NEARLY_NONE countries from europe having small Oil production have average Coal production per capita, 1.0, 0.99, 0.01, 0.0, 1.0, 0.7, 0.75, 1.0, 0.0, 0.0, 1.0, 0.86
NEARLY_NONE data entries having small Oil production have average Coal production per capita and small Gas production per capita and average Annual change in oil production, 1.0, 0.79, 1.0, 0.99, 0.25, 0.7, 0.75, 0.87, 0.0, 0.0, 1.0, 0.89
NEARLY_NONE countries from north america having small Oil production have average Coal production per capita and small Gas production per capita and average Annual change in oil production, 1.0, 0.79, 1.0, 0.99, 0.25, 0.7, 0.75, 0.9, 0.0, 0.0, 1.0, 0.89
NEARLY_NONE countries from europe having small Oil production have average Coal production per capita and small Gas production per capita and average Annual change in oil production, 1.0, 0.76, 1.0, 0.99, 0.25, 0.7, 0.75, 0.9, 0.0, 0.0, 1.0, 0.89
NEARLY_NONE data entries having small Oil production have average Coal production per capita and average Annual change in oil production, 1.0, 0.91, 1.0, 0.99, 0.5, 0.7, 0.75, 0.95, 0.0, 0.0, 1.0, 0.9
NEARLY_NONE countries from north america having small Oil production have average Coal production per capita and average Annual change in oil production, 1.0, 0.91, 1.0, 0.99, 0.5, 0.7, 0.75, 0.97, 0.0, 0.0, 1.0, 0.9
NEARLY_NONE countries from europe having small Oil production have average Coal production per capita and average Annual change in oil production, 1.0, 0.88, 1.0, 0.99, 0.5, 0.7, 0.75, 0.97, 0.0, 0.0, 1.0, 0.9
NEARLY_NONE data entries having small Oil production and small Gas production per capita and average Annual change in oil production have average Coal production per capita, 1.0, 0.99, 0.01, 0.0, 1.0, 0.7, 0.75, 1.0, 0.0, 0.0, 0.25, 0.84
NEARLY_NONE countries from north america having small Oil production and small Gas production per capita and average Annual change in oil production have average Coal production per capita, 1.0, 0.99, 0.01, 0.0, 1.0, 0.7, 0.75, 1.0, 0.0, 0.0, 0.25, 0.84
